name,industry
SVJ Gagarinova 2408,REAL ESTATE
TBG BETONMIX A S,MATERIALS
BLAZKOVA ANNA,NOT RELEVANT
KONTRON TRANSPORTATION S R O,INFORMATION TECHNOLOGY
CESKA DISTRIBUCNI K S,COMMUNICATIONS
SV Raspenava 295,REAL ESTATE
LIVINGROUP S R O,REAL ESTATE
"Shape Corp. Czech Republic, s.r.o.",CONSUMER DISCRETIONARY
"SV U Letiste 1450, Holesov",REAL ESTATE
UAMK A S,CONSUMER DISCRETIONARY
"SVJ Letni 223, Hlobocky",REAL ESTATE
RENOMIA BENEFIT A S,FINANCIALS
SVJ U Kamyku 870-871,REAL ESTATE
FTMO S R O,CONSUMER DISCRETIONARY
SAHM S.R.O.,NOT RELEVANT
"MLÉKÁRNA CEJETICKY,SPOL. S R.O.",NOT RELEVANT
Kvarta-Spolecnost Pro Spravu,NOT RELEVANT
VIZNER LUKAS,NOT RELEVANT
MEDIFINE A S,HEALTH CARE
"SV Komenskeho 57, Kyjov",REAL ESTATE
VHC HOLDING A S,NOT RELEVANT
Trigema Building a.s.,INDUSTRIALS
SVJ Tisnovska 545,REAL ESTATE
BD Kloknerova,REAL ESTATE
POPELKA PAVEL,NOT RELEVANT
KLING BOHEMIA S R O,CONSUMER DISCRETIONARY
SNOP CZ A.S.,CONSUMER DISCRETIONARY
ZEMSPOL STUDENKA A.S.,CONSUMER STAPLES
SV V Luzich 1255 Jablonec n/N,REAL ESTATE
ING DAVID JECMIK,REAL ESTATE
BECK JAROSLAV,NOT RELEVANT
SIGNATURES OF MORAVIA S R O,CONSUMER STAPLES
MTC KOLIN S R O,REAL ESTATE
KOSTROMA ALEXEY,NOT RELEVANT
"ECOPLAST, SPOL. S R.O.",CONSUMER DISCRETIONARY
VLADAN RYCHTAR,INDUSTRIALS
MONT TD A.S.,FINANCIALS
SECURITY ONE S R O,INDUSTRIALS
CZECH FINANCE A S,INDUSTRIALS
ACL COATING S R O,CONSUMER DISCRETIONARY
MIEREA COMPLECT S.R.O.,NOT RELEVANT
VIKTORIAGRUPPE AKTIENGESELLSCHAFT O,ENERGY
SPOROBYT SPOL S R O,NOT RELEVANT
